2017-11-17 13:45:04.541904	+022.4C
2017-11-17 13:45:14.445862	+022.3C
2017-11-17 13:45:24.349858	+022.3C
2017-11-17 13:45:34.253742	+022.3C
2017-11-17 13:45:44.157845	+022.2C
2017-11-17 13:45:54.061820	+022.2C
2017-11-17 13:46:03.966908	+022.1C
2017-11-17 13:46:13.870931	+022.1C
2017-11-17 13:46:23.774961	+022.1C
2017-11-17 13:46:33.678851	+022.1C
2017-11-17 13:46:43.583787	+022.1C
2017-11-17 13:46:53.487954	+022.1C
2017-11-17 13:47:03.392066	+022.1C
2017-11-17 13:47:13.296862	+022.1C
2017-11-17 13:47:23.201916	+022.0C
2017-11-17 13:47:33.105862	+022.0C
2017-11-17 13:47:43.010801	+021.9C
2017-11-17 13:47:52.914868	+022.0C
2017-11-17 13:48:02.819723	+021.9C
2017-11-17 13:48:12.723844	+021.9C
2017-11-17 13:48:22.628927	+021.9C
2017-11-17 13:48:32.532817	+021.9C
2017-11-17 13:48:42.437825	+021.9C
2017-11-17 13:48:52.341806	+021.9C
2017-11-17 13:49:02.245846	+021.9C
2017-11-17 13:49:12.150884	+021.9C
2017-11-17 13:49:22.054870	+021.9C
2017-11-17 13:49:31.958874	+021.9C
2017-11-17 13:49:41.863907	+021.9C
2017-11-17 13:49:51.767867	+021.9C
2017-11-17 13:50:01.672798	+021.9C
2017-11-17 13:50:11.576865	+021.9C
2017-11-17 13:50:21.481017	+021.9C
2017-11-17 13:50:31.385859	+021.9C
2017-11-17 13:50:41.290903	+021.9C
2017-11-17 13:50:51.194862	+021.9C
2017-11-17 13:51:01.098865	+021.9C
2017-11-17 13:51:11.003861	+021.9C
2017-11-17 13:51:20.907865	+021.9C
2017-11-17 13:51:30.811876	+021.9C
2017-11-17 13:51:40.715821	+021.9C
2017-11-17 13:51:50.619906	+021.9C
2017-11-17 13:52:00.523900	+021.9C
2017-11-17 13:52:10.427794	+021.8C
2017-11-17 13:52:20.332921	+021.8C
2017-11-17 13:52:30.236861	+021.8C
2017-11-17 13:52:40.141917	+021.8C
2017-11-17 13:52:50.045861	+021.8C
2017-11-17 13:52:59.950859	+021.8C
2017-11-17 13:53:09.854969	+021.8C
2017-11-17 13:53:19.759727	+021.8C
2017-11-17 13:53:29.664915	+021.8C
2017-11-17 13:53:39.568862	+021.9C
2017-11-17 13:53:49.473906	+021.9C
2017-11-17 13:53:59.377968	+021.9C
2017-11-17 13:54:09.281712	+021.9C
2017-11-17 13:54:19.186882	+021.9C
2017-11-17 13:54:29.090864	+021.9C
2017-11-17 13:54:38.994859	+021.9C
2017-11-17 13:54:48.899906	+021.9C
2017-11-17 13:54:58.803748	+021.8C
2017-11-17 13:55:08.707859	+021.8C
2017-11-17 13:55:18.611876	+021.9C
2017-11-17 13:55:28.515870	+021.8C
2017-11-17 13:55:38.419847	+021.8C
2017-11-17 13:55:48.323781	+021.8C
2017-11-17 13:55:58.227712	+021.8C
2017-11-17 13:56:08.131788	+021.8C
2017-11-17 13:56:18.036820	+021.8C
2017-11-17 13:56:27.940882	+021.8C
2017-11-17 13:56:37.844772	+021.8C
2017-11-17 13:56:47.749930	+021.8C
2017-11-17 13:56:57.653843	+021.7C
2017-11-17 13:57:07.557797	+021.7C
2017-11-17 13:57:17.461875	+021.7C
2017-11-17 13:57:27.365843	+021.7C
2017-11-17 13:57:37.270905	+021.7C
2017-11-17 13:57:47.174018	+021.7C
2017-11-17 13:57:57.077840	+021.7C
2017-11-17 13:58:06.981856	+021.7C
2017-11-17 13:58:16.886987	+021.7C
2017-11-17 13:58:26.790019	+021.7C
2017-11-17 13:58:36.694156	+021.7C
2017-11-17 13:58:46.598859	+021.7C
2017-11-17 13:58:56.503913	+021.7C
2017-11-17 13:59:06.407959	+021.7C
2017-11-17 13:59:16.312916	+021.7C
2017-11-17 13:59:26.216902	+021.7C
2017-11-17 13:59:36.120868	+021.6C
2017-11-17 13:59:46.024862	+021.6C
2017-11-17 13:59:55.928777	+021.7C
2017-11-17 14:00:05.832845	+021.7C
2017-11-17 14:00:15.736838	+021.6C
2017-11-17 14:00:25.641948	+021.6C
2017-11-17 14:00:35.545219	+021.6C
2017-11-17 14:00:45.449874	+021.7C
2017-11-17 14:00:55.353885	+021.6C
2017-11-17 14:01:05.257896	+021.6C
2017-11-17 14:01:15.161908	+021.6C
2017-11-17 14:01:25.065879	+021.6C
2017-11-17 14:01:34.969885	+021.6C
2017-11-17 14:01:44.873878	+021.6C
2017-11-17 14:01:54.777932	+021.6C
2017-11-17 14:02:04.681911	+021.6C
2017-11-17 14:02:14.586097	+021.7C
2017-11-17 14:02:24.489881	+021.7C
2017-11-17 14:02:34.393921	+021.7C
2017-11-17 14:02:44.297789	+021.6C
2017-11-17 14:02:54.201961	+021.6C
2017-11-17 14:03:04.105055	+021.6C
2017-11-17 14:03:14.009859	+021.6C
2017-11-17 14:03:23.914049	+021.6C
2017-11-17 14:03:33.817920	+021.6C
2017-11-17 14:03:43.721824	+021.6C
2017-11-17 14:03:53.625809	+021.6C
2017-11-17 14:04:03.529858	+021.6C
2017-11-17 14:04:13.433882	+021.6C
2017-11-17 14:04:23.337879	+021.6C
2017-11-17 14:04:33.241881	+021.6C
2017-11-17 14:04:43.146006	+021.6C
2017-11-17 14:04:53.050932	+021.6C
2017-11-17 14:05:02.954880	+021.7C
2017-11-17 14:05:12.858814	+021.7C
2017-11-17 14:05:22.763065	+021.7C
2017-11-17 14:05:32.667885	+021.7C
2017-11-17 14:05:42.571874	+021.7C
2017-11-17 14:05:52.475861	+021.7C
2017-11-17 14:06:02.379780	+021.7C
2017-11-17 14:06:12.284755	+021.7C
2017-11-17 14:06:22.188883	+021.7C
2017-11-17 14:06:32.093014	+021.7C
2017-11-17 14:06:41.996057	+021.7C
2017-11-17 14:06:51.900802	+021.7C
2017-11-17 14:07:01.804861	+021.7C
2017-11-17 14:07:11.708701	+021.7C
2017-11-17 14:07:21.612727	+021.8C
2017-11-17 14:07:31.517820	+021.7C
2017-11-17 14:07:41.421730	+021.8C
2017-11-17 14:07:51.325906	+021.8C
2017-11-17 14:08:01.229120	+021.8C
2017-11-17 14:08:11.133897	+021.8C
2017-11-17 14:08:21.037881	+021.8C
2017-11-17 14:08:30.941908	+021.8C
2017-11-17 14:08:40.846057	+021.8C
2017-11-17 14:08:50.750904	+021.8C
2017-11-17 14:09:00.654895	+021.8C
2017-11-17 14:09:10.559887	+021.8C
2017-11-17 14:09:20.463947	+021.8C
2017-11-17 14:09:30.368949	+021.7C
2017-11-17 14:09:40.272906	+021.8C
2017-11-17 14:09:50.176846	+021.8C
2017-11-17 14:10:00.081950	+021.8C
2017-11-17 14:10:09.986275	+021.7C
2017-11-17 14:10:19.889792	+021.8C
2017-11-17 14:10:29.793757	+021.7C
2017-11-17 14:10:39.698757	+021.7C
2017-11-17 14:10:49.603822	+021.7C
2017-11-17 14:10:59.507843	+021.7C
2017-11-17 14:11:09.412920	+021.7C
2017-11-17 14:11:19.316789	+021.7C
2017-11-17 14:11:29.220847	+021.7C
2017-11-17 14:11:39.125111	+021.7C
2017-11-17 14:11:49.029802	+021.7C
2017-11-17 14:11:58.933860	+021.7C
2017-11-17 14:12:08.837866	+021.7C
2017-11-17 14:12:18.742828	+021.7C
2017-11-17 14:12:28.646751	+021.7C
2017-11-17 14:12:38.551087	+021.7C
2017-11-17 14:12:48.456150	+021.7C
2017-11-17 14:12:58.359803	+021.7C
2017-11-17 14:13:08.263843	+021.7C
2017-11-17 14:13:18.168982	+021.7C
2017-11-17 14:13:28.073078	+021.7C
2017-11-17 14:13:37.977144	+021.7C
2017-11-17 14:13:47.881920	+021.7C
2017-11-17 14:13:57.785868	+021.7C
2017-11-17 14:14:07.689859	+021.7C
